code,name,r,g,b,type
#9e91c6,Pantone 271 — Pantone,158,145,198,Лето
#939ed2,Pantone 271 C — Pantone,147,158,210,Лето
#937acc,Pantone 2715 — Pantone,147,122,204,Лето
#868ed6,Pantone 2715 C — Pantone,134,142,214,Лето
#a5a0d6,Pantone 2716 — Pantone,165,160,214,Лето
#99afe2,Pantone 2716 C — Pantone,153,175,226,Лето
#a5bae0,Pantone 2717 — Pantone,165,186,224,Лето
#a5c7ea,Pantone 2717 C — Pantone,165,199,234,Лето
#8977ba,Pantone 272 — Pantone,137,119,186,Лето
#7b86c5,Pantone 272 C — Pantone,123,134,197,Лето
#656ac6,Pantone 2725 C — Pantone,101,106,198,Лето
#b5d1e8,Pantone 277 — Pantone,181,209,232,Лето
#a8cbe5,Pantone 277 C — Pantone,168,203,229,Лето
#89bbe4,Pantone 278 C — Pantone,137,187,228,Лето
#a1ccea,Pantone 283 C — Pantone,161,204,234,Лето
#75aadb,Pantone 284 — Pantone,117,170,219,Лето
#7ab9e5,Pantone 284 C — Pantone,122,185,229,Лето
#bedcea,Pantone 290 C — Pantone,190,220,234,Лето
#93c6e0,Pantone 2905 — Pantone,147,198,224,Лето
#9fd2e9,Pantone 2905 C — Pantone,159,210,233,Лето
#a8cee2,Pantone 291 — Pantone,168,206,226,Лето
#add5ed,Pantone 291 C — Pantone,173,213,237,Лето
#76c2e6,Pantone 2915 C — Pantone,118,194,230,Лето
#75b2dd,Pantone 292 — Pantone,117,178,221,Лето
#82c6e2,Pantone 297 — Pantone,130,198,226,Лето
#80cde7,Pantone 297 C — Pantone,128,205,231,Лето
#bae0e2,Pantone 2975 — Pantone,186,224,226,Лето
#b0deea,Pantone 2975 C — Pantone,176,222,234,Лето
#a5dde2,Pantone 304 — Pantone,165,221,226,Лето
#a8dee3,Pantone 304 C — Pantone,168,222,227,Лето
#72d1dd,Pantone 310 — Pantone,114,209,221,Лето
#7cd6e4,Pantone 310 C — Pantone,124,214,228,Лето
#7fd6db,Pantone 3105 — Pantone,127,214,219,Лето
#7dd7e1,Pantone 3105 C — Pantone,125,215,225,Лето
#9edfe4,Pantone 318 C — Pantone,158,223,228,Лето
#afb1b2,Pantone 422 C — Pantone,175,177,178,Лето
#9b9e9f,Pantone 423 C — Pantone,155,158,159,Лето
#858889,Pantone 424 C — Pantone,133,136,137,Лето
#d2d6d8,Pantone 427 C — Pantone,210,214,216,Лето
#c6cace,Pantone 428 C — Pantone,198,202,206,Лето
#8d969b,Pantone 430 C — Pantone,141,150,155,Лето
#d5cacd,Pantone 434 C — Pantone,213,202,205,Лето
#cbbdc3,Pantone 435 C — Pantone,203,189,195,Лето
#bba9b2,Pantone 436 C — Pantone,187,169,178,Лето
#8e777f,Pantone 437 C — Pantone,142,119,127,Лето
